transformer;model;train_samples;val_samples;test_samples;seed;test_acc;test_prec;test_recall;test_f1
dino_vits8;XGBClassifier;4;0;54;0;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;1;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;2;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;3;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;4;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;5;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;6;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;7;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;8;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;9;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;8;0;54;0;0.6666666666666666;[0.77777778 0.66666667 0.71428571 0.33333333];[0.73684211 0.57142857 0.65217391 0.6       ];[0.75675676 0.61538462 0.68181818 0.42857143]
dino_vits8;XGBClassifier;8;0;54;1;0.6296296296296297;[0.8        0.23076923 0.875      0.5       ];[0.63157895 0.42857143 0.60869565 1.        ];[0.70588235 0.3        0.71794872 0.66666667]
dino_vits8;XGBClassifier;8;0;54;2;0.6296296296296297;[0.94444444 0.25       0.58823529 1.        ];[0.89473684 0.57142857 0.43478261 0.6       ];[0.91891892 0.34782609 0.5        0.75      ]
dino_vits8;XGBClassifier;8;0;54;3;0.5740740740740741;[0.75       0.42857143 0.69230769 0.36363636];[0.63157895 0.85714286 0.39130435 0.8       ];[0.68571429 0.57142857 0.5        0.5       ]
dino_vits8;XGBClassifier;8;0;54;4;0.6666666666666666;[0.76190476 0.29411765 1.         0.8       ];[0.84210526 0.71428571 0.47826087 0.8       ];[0.8        0.41666667 0.64705882 0.8       ]
dino_vits8;XGBClassifier;8;0;54;5;0.5185185185185185;[0.86666667 0.27272727 0.8        0.41666667];[0.68421053 0.85714286 0.17391304 1.        ];[0.76470588 0.4137931  0.28571429 0.58823529]
dino_vits8;XGBClassifier;8;0;54;6;0.6851851851851852;[0.7826087  0.         0.78947368 0.5       ];[0.94736842 0.         0.65217391 0.8       ];[0.85714286 0.         0.71428571 0.61538462]
dino_vits8;XGBClassifier;8;0;54;7;0.5740740740740741;[0.66666667 0.5        0.81818182 0.33333333];[0.63157895 0.71428571 0.39130435 1.        ];[0.64864865 0.58823529 0.52941176 0.5       ]
dino_vits8;XGBClassifier;8;0;54;8;0.2777777777777778;[0.46153846 0.13333333 0.35714286 0.16666667];[0.31578947 0.28571429 0.2173913  0.4       ];[0.375      0.18181818 0.27027027 0.23529412]
dino_vits8;XGBClassifier;8;0;54;9;0.6296296296296297;[1.         0.375      0.73913043 0.30769231];[0.52631579 0.42857143 0.73913043 0.8       ];[0.68965517 0.4        0.73913043 0.44444444]
dino_vits8;XGBClassifier;20;0;54;0;0.5740740740740741;[0.52631579 0.35294118 0.90909091 0.71428571];[0.52631579 0.85714286 0.43478261 1.        ];[0.52631579 0.5        0.58823529 0.83333333]
dino_vits8;XGBClassifier;20;0;54;1;0.7037037037037037;[0.75       0.2        0.88888889 0.83333333];[0.78947368 0.28571429 0.69565217 1.        ];[0.76923077 0.23529412 0.7804878  0.90909091]
dino_vits8;XGBClassifier;20;0;54;2;0.7777777777777778;[0.69565217 0.4        0.9047619  1.        ];[0.84210526 0.28571429 0.82608696 1.        ];[0.76190476 0.33333333 0.86363636 1.        ]
dino_vits8;XGBClassifier;20;0;54;3;0.46296296296296297;[0.51851852 0.36363636 0.85714286 0.11111111];[0.73684211 0.57142857 0.26086957 0.2       ];[0.60869565 0.44444444 0.4        0.14285714]
dino_vits8;XGBClassifier;20;0;54;4;0.7222222222222222;[0.89473684 0.33333333 0.77777778 0.625     ];[0.89473684 0.42857143 0.60869565 1.        ];[0.89473684 0.375      0.68292683 0.76923077]
dino_vits8;XGBClassifier;20;0;54;5;0.6481481481481481;[0.92307692 0.30434783 0.92307692 0.8       ];[0.63157895 1.         0.52173913 0.8       ];[0.75       0.46666667 0.66666667 0.8       ]
dino_vits8;XGBClassifier;20;0;54;6;0.6851851851851852;[0.82352941 0.         0.68965517 1.        ];[0.73684211 0.         0.86956522 0.6       ];[0.77777778 0.         0.76923077 0.75      ]
dino_vits8;XGBClassifier;20;0;54;7;0.5370370370370371;[0.66666667 0.23809524 0.90909091 0.57142857];[0.52631579 0.71428571 0.43478261 0.8       ];[0.58823529 0.35714286 0.58823529 0.66666667]
dino_vits8;XGBClassifier;20;0;54;8;0.5555555555555556;[1.         0.44444444 0.66666667 0.26666667];[0.31578947 0.57142857 0.69565217 0.8       ];[0.48       0.5        0.68085106 0.4       ]
dino_vits8;XGBClassifier;20;0;54;9;0.8333333333333334;[0.85       0.5        0.88       0.71428571];[0.89473684 0.14285714 0.95652174 1.        ];[0.87179487 0.22222222 0.91666667 0.83333333]
dino_vits8;XGBClassifier;40;0;54;0;0.7222222222222222;[1.         0.3125     0.9047619  0.71428571];[0.52631579 0.71428571 0.82608696 1.        ];[0.68965517 0.43478261 0.86363636 0.83333333]
dino_vits8;XGBClassifier;40;0;54;1;0.7777777777777778;[0.94117647 0.42857143 0.9375     0.71428571];[0.84210526 0.85714286 0.65217391 1.        ];[0.88888889 0.57142857 0.76923077 0.83333333]
dino_vits8;XGBClassifier;40;0;54;2;0.7592592592592593;[0.94444444 0.46153846 0.88235294 0.5       ];[0.89473684 0.85714286 0.65217391 0.6       ];[0.91891892 0.6        0.75       0.54545455]
dino_vits8;XGBClassifier;40;0;54;3;0.7592592592592593;[0.9047619  0.38461538 0.92307692 0.71428571];[1.         0.71428571 0.52173913 1.        ];[0.95       0.5        0.66666667 0.83333333]
dino_vits8;XGBClassifier;40;0;54;4;0.6111111111111112;[1.         0.42857143 0.9        0.25      ];[0.73684211 0.85714286 0.39130435 0.8       ];[0.84848485 0.57142857 0.54545455 0.38095238]
dino_vits8;XGBClassifier;40;0;54;5;0.7407407407407407;[0.9375     0.45454545 0.83333333 0.55555556];[0.78947368 0.71428571 0.65217391 1.        ];[0.85714286 0.55555556 0.73170732 0.71428571]
dino_vits8;XGBClassifier;40;0;54;6;0.7037037037037037;[1.         0.25       0.76923077 0.5       ];[0.63157895 0.28571429 0.86956522 0.8       ];[0.77419355 0.26666667 0.81632653 0.61538462]
dino_vits8;XGBClassifier;40;0;54;7;0.8148148148148148;[1.         0.46153846 0.95       0.71428571];[0.73684211 0.85714286 0.82608696 1.        ];[0.84848485 0.6        0.88372093 0.83333333]
dino_vits8;XGBClassifier;40;0;54;8;0.7222222222222222;[1.         0.35714286 0.82608696 0.71428571];[0.52631579 0.71428571 0.82608696 1.        ];[0.68965517 0.47619048 0.82608696 0.83333333]
dino_vits8;XGBClassifier;40;0;54;9;0.7592592592592593;[0.84210526 0.25       0.9        0.71428571];[0.84210526 0.28571429 0.7826087  1.        ];[0.84210526 0.26666667 0.8372093  0.83333333]
dino_vits8;XGBClassifier;120;0;54;0;0.8703703703703703;[1.         0.57142857 0.875      0.83333333];[0.89473684 0.57142857 0.91304348 1.        ];[0.94444444 0.57142857 0.89361702 0.90909091]
dino_vits8;XGBClassifier;120;0;54;1;0.9074074074074074;[1.         0.71428571 0.90909091 0.83333333];[1.         0.71428571 0.86956522 1.        ];[1.         0.71428571 0.88888889 0.90909091]
dino_vits8;XGBClassifier;120;0;54;2;0.8518518518518519;[1.         0.55555556 0.90909091 0.71428571];[0.84210526 0.71428571 0.86956522 1.        ];[0.91428571 0.625      0.88888889 0.83333333]
dino_vits8;XGBClassifier;120;0;54;3;0.8518518518518519;[1.         0.55555556 0.90909091 0.71428571];[0.84210526 0.71428571 0.86956522 1.        ];[0.91428571 0.625      0.88888889 0.83333333]
dino_vits8;XGBClassifier;120;0;54;4;0.8703703703703703;[1.         0.5        0.91304348 1.        ];[0.84210526 0.71428571 0.91304348 1.        ];[0.91428571 0.58823529 0.91304348 1.        ]
dino_vits8;XGBClassifier;120;0;54;5;0.8888888888888888;[0.94444444 0.57142857 0.91666667 1.        ];[0.89473684 0.57142857 0.95652174 1.        ];[0.91891892 0.57142857 0.93617021 1.        ]
dino_vits8;XGBClassifier;120;0;54;6;0.8888888888888888;[1.         0.71428571 0.91304348 0.71428571];[0.89473684 0.71428571 0.91304348 1.        ];[0.94444444 0.71428571 0.91304348 0.83333333]
dino_vits8;XGBClassifier;120;0;54;7;0.8703703703703703;[1.         0.55555556 0.91304348 0.83333333];[0.84210526 0.71428571 0.91304348 1.        ];[0.91428571 0.625      0.91304348 0.90909091]
dino_vits8;XGBClassifier;120;0;54;8;0.8518518518518519;[1.         0.5        0.90909091 0.83333333];[0.84210526 0.71428571 0.86956522 1.        ];[0.91428571 0.58823529 0.88888889 0.90909091]
dino_vits8;XGBClassifier;120;0;54;9;0.9074074074074074;[1.         0.71428571 0.91304348 0.83333333];[0.94736842 0.71428571 0.91304348 1.        ];[0.97297297 0.71428571 0.91304348 0.90909091]
dino_vits8;XGBClassifier;176;0;54;0;0.9259259259259259;[1.         0.71428571 0.92       1.        ];[0.89473684 0.71428571 1.         1.        ];[0.94444444 0.71428571 0.95833333 1.        ]
dino_vits8;XGBClassifier;176;0;54;1;0.9074074074074074;[1.         0.625      0.91666667 1.        ];[0.89473684 0.71428571 0.95652174 1.        ];[0.94444444 0.66666667 0.93617021 1.        ]
dino_vits8;XGBClassifier;176;0;54;2;0.9074074074074074;[1.         0.625      0.91666667 1.        ];[0.89473684 0.71428571 0.95652174 1.        ];[0.94444444 0.66666667 0.93617021 1.        ]
dino_vits8;XGBClassifier;176;0;54;3;0.9259259259259259;[1.         0.71428571 0.91666667 1.        ];[0.94736842 0.71428571 0.95652174 1.        ];[0.97297297 0.71428571 0.93617021 1.        ]
dino_vits8;XGBClassifier;176;0;54;4;0.9259259259259259;[1.         0.71428571 0.91666667 1.        ];[0.94736842 0.71428571 0.95652174 1.        ];[0.97297297 0.71428571 0.93617021 1.        ]
dino_vits8;XGBClassifier;176;0;54;5;0.9259259259259259;[0.95       0.8        0.91666667 1.        ];[1.         0.57142857 0.95652174 1.        ];[0.97435897 0.66666667 0.93617021 1.        ]
dino_vits8;XGBClassifier;176;0;54;6;0.9074074074074074;[1.         0.83333333 0.875      0.8       ];[1.         0.71428571 0.91304348 0.8       ];[1.         0.76923077 0.89361702 0.8       ]
dino_vits8;XGBClassifier;176;0;54;7;0.8888888888888888;[1.         0.55555556 0.91304348 1.        ];[0.89473684 0.71428571 0.91304348 1.        ];[0.94444444 0.625      0.91304348 1.        ]
dino_vits8;XGBClassifier;176;0;54;8;0.9444444444444444;[1.         0.83333333 0.92       1.        ];[0.94736842 0.71428571 1.         1.        ];[0.97297297 0.76923077 0.95833333 1.        ]
dino_vits8;XGBClassifier;176;0;54;9;0.9259259259259259;[1.         0.71428571 0.91304348 1.        ];[1.         0.71428571 0.91304348 1.        ];[1.         0.71428571 0.91304348 1.        ]
transformer;model;train_samples;val_samples;test_samples;seed;test_acc;test_prec;test_recall;test_f1
dino_vits8;XGBClassifier;4;0;54;0;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;1;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;2;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;3;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;4;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;5;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;6;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;7;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;8;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;4;0;54;9;0.35185185185185186;[0.35185185 0.         0.         0.        ];[1. 0. 0. 0.];[0.52054795 0.         0.         0.        ]
dino_vits8;XGBClassifier;8;0;54;0;0.6666666666666666;[0.77777778 0.66666667 0.71428571 0.33333333];[0.73684211 0.57142857 0.65217391 0.6       ];[0.75675676 0.61538462 0.68181818 0.42857143]
